datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-04 10:20:00,sh.600000,9.78,9.8,9.78,9.79,329160,3222631.0,3
2019-01-04 10:25:00,sh.600000,9.79,9.84,9.78,9.84,612717,6005218.0,3
2019-01-04 10:30:00,sh.600000,9.84,9.87,9.83,9.86,634100,6247888.0,3
2019-01-04 10:35:00,sh.600000,9.85,9.93,9.85,9.89,1171261,11586393.0,3
2019-01-04 10:40:00,sh.600000,9.89,9.91,9.88,9.9,549700,5441588.0,3
2019-01-04 10:45:00,sh.600000,9.9,9.97,9.9,9.93,1478700,14695509.0,3
2019-01-04 10:50:00,sh.600000,9.93,9.96,9.89,9.9,683200,6788039.0,3
2019-01-04 10:55:00,sh.600000,9.9,9.91,9.87,9.88,403900,3993587.0,3
2019-01-04 11:00:00,sh.600000,9.88,9.95,9.87,9.93,455200,4507937.0,3
2019-01-04 11:05:00,sh.600000,9.92,9.93,9.9,9.91,279500,2771282.0,3
2019-01-04 11:10:00,sh.600000,9.92,9.95,9.9,9.92,561800,5575391.0,3
2019-01-04 11:15:00,sh.600000,9.92,9.96,9.89,9.93,672858,6677962.0,3
2019-01-04 11:20:00,sh.600000,9.94,9.96,9.9,9.91,409700,4070863.0,3
2019-01-04 11:25:00,sh.600000,9.94,9.98,9.91,9.96,1086400,10812808.0,3
2019-01-04 11:30:00,sh.600000,9.95,9.98,9.95,9.98,660243,6581876.0,3
2019-01-04 13:05:00,sh.600000,9.98,10.0,9.94,9.95,2183200,21773091.0,3
2019-01-04 13:10:00,sh.600000,9.95,9.95,9.91,9.93,917058,9105194.0,3
2019-01-04 13:15:00,sh.600000,9.93,9.94,9.9,9.9,757142,7506535.0,3
2019-01-04 13:20:00,sh.600000,9.91,9.92,9.9,9.91,610643,6049343.0,3
2019-01-04 13:25:00,sh.600000,9.91,9.94,9.91,9.93,517800,5139078.0,3
2019-01-04 13:30:00,sh.600000,9.93,9.93,9.89,9.91,649900,6437598.0,3
2019-01-04 13:35:00,sh.600000,9.9,9.94,9.9,9.93,288600,2863641.0,3
2019-01-04 13:40:00,sh.600000,9.93,9.93,9.91,9.91,287900,2854805.0,3
2019-01-04 13:45:00,sh.600000,9.91,9.93,9.91,9.92,395440,3921880.0,3
